id,context,instruction,display_tokens,answer_words,choices,difficulty,type,full_response
120,A few accounts were locked by mistake.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|address|that|quickly,how|that|really|quickly|can|know|we|address|today,medium,supervisor_wants,The supervisor wants to know how we can address that quickly.
121,Didn't you tell me you lost that document?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|in|the|drawer|near|the|window,the|the|it|window|really|drawer|in|near,medium,found_it,I discovered it in the drawer near the window.
122,Weren't you searching for your notebook?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|on|the|shelf|by|the|printer,it|the|printer|the|by|on|shelf|really,medium,found_it,I found it on the shelf by the printer.
123,Did you ever locate the missing key card?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|inside|the|jacket|near|the|door,near|really|door|it|inside|today|jacket|the|the,medium,found_it,I found it inside the jacket near the door.
124,What happened to the conference badge?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|under|the|folder|on|my|desk,today|really|it|on|the|folder|desk|under|my,medium,found_it,I discovered it under the folder on my desk.
125,Did you lose your train pass again?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|in|the|bag|beside|the|chair,the|really|in|chair|the|bag|it|beside,medium,found_it,I found it in the bag beside the chair.
126,Where was the museum brochure after all?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|under|the|map|near|the|entrance,the|near|under|map|it|the|really|entrance,medium,found_it,I found it under the map near the entrance.
127,Have you seen your camera battery?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|inside|the|box|under|the|table,it|table|the|really|under|inside|today|box|the,medium,found_it,I found it inside the box under the table.
128,What about the receipt from the bookstore?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|in|the|pocket|of|my|coat,pocket|it|really|of|the|my|in|coat,medium,found_it,I discovered it in the pocket of my coat.
129,Did you recover the missing flash drive?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|behind|the|monitor|on|the|desk,it|the|behind|the|desk|monitor|on|really,medium,found_it,I found it behind the monitor on the desk.
130,Where was the apartment contract?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|inside|the|folder|near|the|lamp,the|today|near|the|it|inside|lamp|folder|really,medium,found_it,I discovered it inside the folder near the lamp.
131,What happened to your headphones case?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|under|the|seat|by|the|window,seat|by|today|it|under|really|the|window|the,medium,found_it,I found it under the seat by the window.
132,Did you find the recipe card eventually?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|in|the|cookbook|on|the|counter,really|cookbook|in|it|the|counter|on|the,medium,found_it,I discovered it in the cookbook on the counter.
133,What about the spare locker key?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|inside|the|drawer|near|the|mirror,mirror|today|the|really|inside|near|drawer|it|the,medium,found_it,I found it inside the drawer near the mirror.
134,Did the postcard ever turn up?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|under|the|newspaper|by|the|door,it|the|the|newspaper|under|really|by|door,medium,found_it,I discovered it under the newspaper by the door.
135,Were you able to find the lost sketch?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|inside|the|portfolio|near|the|stairs,it|portfolio|really|inside|the|near|the|stairs,medium,found_it,I found it inside the portfolio near the stairs.
136,What happened to the visitor pass?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|under|the|clipboard|on|the|table,table|the|on|under|the|really|today|it|clipboard,medium,found_it,I found it under the clipboard on the table.
137,Did you recover that old photo?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|in|the|album|by|the|shelf,really|the|by|it|in|today|the|album|shelf,medium,found_it,I discovered it in the album by the shelf.
138,Where was the missing charger cable?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|behind|the|sofa|near|the|lamp,sofa|really|behind|the|near|lamp|the|it,medium,found_it,I found it behind the sofa near the lamp.
139,Did anyone find your ID card?,Make an appropriate sentence.,I discovered ____ ____ ____ ____ ____ ____ ____.,it|under|the|binder|on|my|desk,it|under|binder|desk|really|today|on|my|the,medium,found_it,I discovered it under the binder on my desk.
140,What about the draft proposal?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,it|inside|the|cabinet|near|the|window,inside|the|it|really|near|the|today|window|cabinet,medium,found_it,I found it inside the cabinet near the window.
141,My next project will be a documentary film about an influential leader.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|leader|you|want|to|focus|on,on|which|really|focus|to|want|you|leader,medium,decided_focus,Have you decided which leader you want to focus on?
142,Your podcast series about social change sounds ambitious.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|activist|you|want|to|feature|first,first|activist|you|want|really|which|feature|to|today,medium,decided_focus,Have you decided which activist you want to feature first?
143,That photo essay on urban life could be fascinating.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|neighborhood|you|want|to|focus|on,really|on|you|want|today|which|focus|neighborhood|to,medium,decided_focus,Have you decided which neighborhood you want to focus on?
144,Your article about renewable energy sounds timely.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|company|you|want|to|examine|first,you|want|examine|company|today|really|which|first|to,medium,decided_focus,Have you decided which company you want to examine first?
145,The exhibit on local history has lots of possibilities.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|story|you|want|to|highlight|first,want|first|story|which|to|really|you|highlight,medium,decided_focus,Have you decided which story you want to highlight first?
146,Your video about student life could go in many directions.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|theme|you|want|to|focus|on,to|really|on|focus|which|theme|want|you,medium,decided_focus,Have you decided which theme you want to focus on?
147,That research project about public transit seems broad.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|city|you|want|to|study|first,city|really|to|first|you|study|want|which,medium,decided_focus,Have you decided which city you want to study first?
148,Your essay on digital privacy has many examples.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|case|you|want|to|discuss|first,which|you|case|to|really|want|first|discuss|today,medium,decided_focus,Have you decided which case you want to discuss first?
149,The book report on modern fiction gives you many options.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|author|you|want|to|analyze|first,today|first|author|really|which|to|want|analyze|you,medium,decided_focus,Have you decided which author you want to analyze first?
150,Your documentary on architecture sounds exciting.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|building|you|want|to|focus|on,which|to|today|you|want|building|really|on|focus,medium,decided_focus,Have you decided which building you want to focus on?
151,The presentation about marine life needs a clear angle.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|species|you|want|to|feature|first,want|to|first|which|really|you|species|feature,medium,decided_focus,Have you decided which species you want to feature first?
152,Your poster on public health seems very broad.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|issue|you|want|to|focus|on,really|you|today|to|issue|on|focus|want|which,medium,decided_focus,Have you decided which issue you want to focus on?
153,That business case study could examine several brands.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|brand|you|want|to|analyze|first,which|today|really|brand|want|to|analyze|first|you,medium,decided_focus,Have you decided which brand you want to analyze first?
154,Your speech on leadership may need one clear example.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|person|you|want|to|talk|about,talk|person|about|today|which|you|really|want|to,medium,decided_focus,Have you decided which person you want to talk about?
155,The history project includes many turning points.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|period|you|want|to|focus|on,focus|on|want|really|period|to|which|you,medium,decided_focus,Have you decided which period you want to focus on?
156,Your art review can compare several painters.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|artist|you|want|to|discuss|first,you|artist|which|really|first|want|discuss|today|to,medium,decided_focus,Have you decided which artist you want to discuss first?
157,The science article could cover many inventions.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|invention|you|want|to|highlight|first,highlight|which|invention|want|to|you|really|first,medium,decided_focus,Have you decided which invention you want to highlight first?
158,Your short film about migration has several themes.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|family|you|want|to|follow|first,really|want|follow|first|to|today|which|family|you,medium,decided_focus,Have you decided which family you want to follow first?
159,The proposal about tourism trends needs a narrow scope.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|region|you|want|to|focus|on,on|which|want|focus|really|region|to|you,medium,decided_focus,Have you decided which region you want to focus on?
160,Your report on education reform includes many examples.,Make an appropriate sentence.,Have you decided ____ ____ ____ ____ ____ ____ ____?,which|policy|you|want|to|examine|first,to|today|which|want|really|examine|you|first|policy,medium,decided_focus,Have you decided which policy you want to examine first?
161,Why did you move to this neighborhood?,Make an appropriate sentence.,I found the ____ ____ ____ ____ ____ ____ ____.,amenities|in|this|neighborhood|much|more|convenient,neighborhood|convenient|in|this|much|amenities|more|really,medium,reason_found,I found the amenities in this neighborhood much more convenient.
162,Why did you choose that apartment complex?,Make an appropriate sentence.,I found the ____ ____ ____ ____ ____ ____ ____.,location|near|my|office|much|more|convenient,my|much|near|location|convenient|more|office|really,medium,reason_found,I found the location near my office much more convenient.
163,What made you switch to this dorm?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|shared|kitchen|there|much|more|practical,the|much|kitchen|there|practical|shared|really|more,medium,reason_found,I found the shared kitchen there much more practical.
164,Why did your family move closer to downtown?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|public|transportation|there|much|more|reliable,transportation|reliable|much|really|the|there|public|more,medium,reason_found,I found the public transportation there much more reliable.
165,Why did you choose the new office building?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|meeting|spaces|there|much|more|useful,much|useful|more|there|really|spaces|meeting|the,medium,reason_found,I found the meeting spaces there much more useful.
166,Why did you transfer to that campus?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|course|options|there|much|more|flexible,the|flexible|more|options|today|course|there|really|much,medium,reason_found,I found the course options there much more flexible.
167,Why are you staying in that neighborhood now?,Make an appropriate sentence.,I found the ____ ____ ____ ____ ____ ____ ____.,shops|and|cafés|there|much|more|accessible,accessible|much|there|and|really|today|cafés|more|shops,medium,reason_found,I found the shops and cafés there much more accessible.
168,Why did you rent that studio instead?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|quiet|street|there|much|more|comfortable,the|there|comfortable|today|much|street|quiet|really|more,medium,reason_found,I found the quiet street there much more comfortable.
169,Why did you move closer to the river?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|walking|paths|there|much|more|relaxing,paths|more|there|much|the|walking|really|relaxing,medium,reason_found,I found the walking paths there much more relaxing.
170,Why did you choose that coworking space?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|internet|speed|there|much|more|reliable,speed|there|more|much|internet|the|reliable|really,medium,reason_found,I found the internet speed there much more reliable.
171,Why did you join the gym near the station?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|class|schedule|there|much|more|convenient,the|class|there|more|convenient|schedule|really|much,medium,reason_found,I found the class schedule there much more convenient.
172,Why did you switch to the newer library branch?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|study|rooms|there|much|more|available,more|really|rooms|study|available|much|today|the|there,medium,reason_found,I found the study rooms there much more available.
173,Why did you move to the east side?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|commute|from|there|much|more|manageable,much|commute|from|manageable|there|really|the|more,medium,reason_found,I found the commute from there much more manageable.
174,Why did you change hotels during the trip?,Make an appropriate sentence.,I found the ____ ____ ____ ____ ____ ____ ____.,service|at|this|hotel|much|more|consistent,really|consistent|at|service|today|hotel|this|more|much,medium,reason_found,I found the service at this hotel much more consistent.
175,Why did you pick that café as your workspace?,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,found|the|seating|there|much|more|comfortable,comfortable|found|the|seating|there|much|more|really,medium,reason_found,I found the seating there much more comfortable.
176,Why did you choose the weekend market downtown?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|local|vendors|there|much|more|interesting,interesting|there|vendors|the|really|much|local|more,medium,reason_found,I found the local vendors there much more interesting.
177,Why did you switch to a different clinic?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|appointment|system|there|much|more|efficient,there|really|today|the|system|much|more|efficient|appointment,medium,reason_found,I found the appointment system there much more efficient.
178,Why are you studying at that library branch?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|silent|zone|there|much|more|helpful,helpful|today|silent|the|there|really|more|much|zone,medium,reason_found,I found the silent zone there much more helpful.
179,Why did you choose the smaller theater?,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,found|the|acoustics|there|much|more|impressive,impressive|more|the|really|much|found|there|acoustics,medium,reason_found,I found the acoustics there much more impressive.
180,Why did you sign up for that program?,Make an appropriate sentence.,I found ____ ____ ____ ____ ____ ____ ____.,the|mentor|support|there|much|more|valuable,valuable|mentor|more|much|support|there|really|the,medium,reason_found,I found the mentor support there much more valuable.
181,The public speaking seminar had many different sessions.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|session|was|organized,me|session|really|today|organized|each|was|how,medium,tell_me_how,Could you tell me how each session was organized?
182,The training program looked carefully planned.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|workshop|was|structured,really|each|structured|how|today|was|workshop|me,medium,tell_me_how,Could you tell me how each workshop was structured?
183,The conference schedule seemed unusually detailed.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|panel|was|organized,really|how|panel|organized|was|each|me,medium,tell_me_how,Could you tell me how each panel was organized?
184,The museum tour included several activity stops.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|section|was|planned,section|really|each|me|how|today|planned|was,medium,tell_me_how,Could you tell me how each section was planned?
185,The summer camp offered many afternoon classes.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|class|was|organized,was|me|organized|each|class|today|how|really,medium,tell_me_how,Could you tell me how each class was organized?
186,The design sprint had multiple team stages.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|stage|was|structured,stage|really|was|structured|me|how|each,medium,tell_me_how,Could you tell me how each stage was structured?
187,The orientation week included many small events.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|event|was|arranged,event|really|arranged|me|how|was|each,medium,tell_me_how,Could you tell me how each event was arranged?
188,The debate tournament had a complex schedule.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|round|was|organized,was|how|me|organized|each|really|round,medium,tell_me_how,Could you tell me how each round was organized?
189,The exhibition had several themed rooms.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|room|was|planned,planned|me|was|how|each|room|really|today,medium,tell_me_how,Could you tell me how each room was planned?
190,The job fair included many company sessions.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|booth|was|organized,really|was|how|booth|each|organized|today|me,medium,tell_me_how,Could you tell me how each booth was organized?
191,The writers' workshop had rotating discussions.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|group|was|structured,really|group|me|each|how|was|structured,medium,tell_me_how,Could you tell me how each group was structured?
192,The school festival had many performance blocks.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|block|was|arranged,how|was|really|each|me|block|arranged,medium,tell_me_how,Could you tell me how each block was arranged?
193,The internship program had several interview steps.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|step|was|organized,step|was|really|organized|me|how|each,medium,tell_me_how,Could you tell me how each step was organized?
194,The volunteer training had different learning modules.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|module|was|structured,module|structured|each|really|me|was|how,medium,tell_me_how,Could you tell me how each module was structured?
195,The cooking course had weekly skill topics.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|lesson|was|planned,really|was|planned|lesson|today|each|me|how,medium,tell_me_how,Could you tell me how each lesson was planned?
196,The startup event offered several mentoring sessions.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|session|was|structured,me|really|session|was|today|each|how|structured,medium,tell_me_how,Could you tell me how each session was structured?
197,The language course had many conversation units.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|unit|was|organized,how|organized|really|each|was|today|me|unit,medium,tell_me_how,Could you tell me how each unit was organized?
198,The theater workshop used different rehearsal groups.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|group|was|arranged,each|arranged|how|really|me|was|group,medium,tell_me_how,Could you tell me how each group was arranged?
199,The reading seminar covered several themes.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|theme|was|introduced,introduced|each|was|really|today|how|theme|me,medium,tell_me_how,Could you tell me how each theme was introduced?
200,The leadership retreat had many discussion circles.,Make an appropriate sentence.,Could you tell ____ ____ ____ ____ ____ ____?,me|how|each|circle|was|organized,circle|how|each|me|was|really|organized,medium,tell_me_how,Could you tell me how each circle was organized?
201,The museum closes earlier on weekdays now.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|ticket|office|closes|today,time|what|ticket|today|really|closes|the|office,medium,check_time,Can you check what time the ticket office closes today?
202,The gallery changed its weekend hours.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|front|desk|opens|tomorrow,really|front|opens|the|what|desk|tomorrow|time,medium,check_time,Can you check what time the front desk opens tomorrow?
203,The student gym posted a new holiday schedule.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|fitness|center|closes|tonight,tonight|the|time|what|center|really|closes|fitness,medium,check_time,Can you check what time the fitness center closes tonight?
204,The travel agency opens later on Sundays.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|office|opens|today,opens|the|time|check|today|office|really|what,medium,check_time,Can you check what time the office opens today?
205,The bookstore is closing for inventory tonight.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|store|closes|today,what|the|closes|store|time|really|today|check,medium,check_time,Can you check what time the store closes today?
206,The language lab has reduced evening hours.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|lab|closes|tonight,check|what|closes|the|lab|tonight|really|time,medium,check_time,Can you check what time the lab closes tonight?
207,The café is hosting a private event this afternoon.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|counter|reopens|later,counter|reopens|the|time|really|check|later|what,medium,check_time,Can you check what time the counter reopens later?
208,The city pool changed its summer schedule.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|pool|opens|tomorrow,tomorrow|time|what|the|pool|opens|check|really,medium,check_time,Can you check what time the pool opens tomorrow?
209,The clinic posted new lunch break hours.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|desk|reopens|today,reopens|later|today|what|desk|check|time|the|really,medium,check_time,Can you check what time the desk reopens today?
210,The library has a staff meeting at noon.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|help|desk|opens|again,time|the|what|desk|really|opens|again|help,medium,check_time,Can you check what time the help desk opens again?
211,The theater box office changed locations.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|window|opens|today,time|opens|check|window|today|really|the|what,medium,check_time,Can you check what time the window opens today?
212,The computer lab is closing for cleaning.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|lab|reopens|later,reopens|later|the|really|lab|what|time|check,medium,check_time,Can you check what time the lab reopens later?
213,The campus store shortened its Friday hours.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|store|closes|today,really|closes|the|today|check|what|store|time|later,medium,check_time,Can you check what time the store closes today?
214,The science center opens late on holidays.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|main|hall|opens|tomorrow,really|time|what|tomorrow|opens|hall|the|main,medium,check_time,Can you check what time the main hall opens tomorrow?
215,The food court is closing one section for repairs.,Make an appropriate sentence.,Can you check ____ ____ ____ ____ ____ ____ ____?,what|time|the|south|wing|reopens|today,reopens|today|later|time|the|wing|south|really|what,medium,check_time,Can you check what time the south wing reopens today?
216,The visitor center posted a temporary schedule.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|center|closes|today,closes|center|the|check|time|really|today|later|what,medium,check_time,Can you check what time the center closes today?
217,The pharmacy in the station changed its hours.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|counter|opens|tomorrow,check|opens|counter|the|time|what|really|tomorrow,medium,check_time,Can you check what time the counter opens tomorrow?
218,The archive room now requires appointments.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|room|closes|today,check|what|the|time|really|room|closes|today,medium,check_time,Can you check what time the room closes today?
219,The art supply shop is closed for lunch.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|shop|reopens|today,really|what|today|the|reopens|time|check|shop,medium,check_time,Can you check what time the shop reopens today?
220,The concert hall opens its doors later on weekends.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,check|what|time|the|hall|opens|tonight,hall|tonight|time|what|check|today|the|opens|really,medium,check_time,Can you check what time the hall opens tonight?
221,Our team meeting felt a little rushed today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|manager|changed|the|agenda|so|suddenly,today|agenda|so|the|the|really|changed|suddenly|manager,medium,wonder_why,I wonder why the manager changed the agenda so suddenly.
222,The class discussion ended much earlier than usual.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|teacher|changed|the|plan|so|quickly,teacher|changed|the|plan|so|today|really|the|quickly,medium,wonder_why,I wonder why the teacher changed the plan so quickly.
223,The museum tour skipped two rooms this morning.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|guide|changed|the|route|so|suddenly,today|suddenly|the|route|really|so|changed|guide|the,medium,wonder_why,I wonder why the guide changed the route so suddenly.
224,The workshop focused on a different topic today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|speaker|changed|the|outline|so|quickly,really|speaker|outline|changed|the|so|the|quickly|today,medium,wonder_why,I wonder why the speaker changed the outline so quickly.
225,The game strategy meeting sounded tense.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|coach|changed|the|lineup|so|suddenly,changed|coach|so|really|the|the|lineup|suddenly,medium,wonder_why,I wonder why the coach changed the lineup so suddenly.
226,The orientation session moved to another building.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|staff|changed|the|location|so|quickly,so|quickly|really|location|staff|the|changed|the,medium,wonder_why,I wonder why the staff changed the location so quickly.
227,The conference panel started with a new moderator.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|organizers|changed|the|schedule|so|suddenly,the|suddenly|really|changed|organizers|so|today|the|schedule,medium,wonder_why,I wonder why the organizers changed the schedule so suddenly.
228,The art class used different materials today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|instructor|changed|the|materials|so|quickly,the|materials|quickly|instructor|the|really|changed|so,medium,wonder_why,I wonder why the instructor changed the materials so quickly.
229,The debate team practiced a new format today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|captain|changed|the|order|so|suddenly,so|changed|really|the|suddenly|today|captain|the|order,medium,wonder_why,I wonder why the captain changed the order so suddenly.
230,The film screening started without introductions.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|host|changed|the|program|so|quickly,changed|today|host|quickly|the|really|the|program|so,medium,wonder_why,I wonder why the host changed the program so quickly.
231,The volunteer event began an hour late.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|coordinator|changed|the|timing|so|suddenly,the|suddenly|so|coordinator|timing|changed|the|really,medium,wonder_why,I wonder why the coordinator changed the timing so suddenly.
232,The training day ended after only one session.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|director|changed|the|agenda|so|quickly,the|so|agenda|quickly|director|really|changed|the,medium,wonder_why,I wonder why the director changed the agenda so quickly.
233,The interview process has one fewer step now.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|office|changed|the|process|so|suddenly,process|today|suddenly|really|the|changed|so|the|office,medium,wonder_why,I wonder why the office changed the process so suddenly.
234,The rehearsal used a different ending today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|conductor|changed|the|finale|so|quickly,conductor|the|finale|changed|really|the|quickly|so,medium,wonder_why,I wonder why the conductor changed the finale so quickly.
235,The class trip now includes a museum stop.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|teacher|changed|the|itinerary|so|suddenly,the|itinerary|changed|really|suddenly|teacher|the|so,medium,wonder_why,I wonder why the teacher changed the itinerary so suddenly.
236,The community event moved indoors at noon.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|team|changed|the|venue|so|quickly,so|team|really|venue|the|quickly|changed|today|the,medium,wonder_why,I wonder why the team changed the venue so quickly.
237,The design review skipped the budget slide.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|presenter|changed|the|order|so|suddenly,changed|order|really|suddenly|the|so|presenter|the|today,medium,wonder_why,I wonder why the presenter changed the order so suddenly.
238,The study group covered a different chapter today.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|leader|changed|the|topic|so|quickly,quickly|topic|really|leader|the|so|changed|the,medium,wonder_why,I wonder why the leader changed the topic so quickly.
239,The camp schedule included a new break period.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|staff|changed|the|routine|so|suddenly,suddenly|really|the|changed|the|routine|staff|so,medium,wonder_why,I wonder why the staff changed the routine so suddenly.
240,The panel discussion added another speaker at noon.,Make an appropriate sentence.,I wonder why ____ ____ ____ ____ ____ ____ ____.,the|committee|changed|the|lineup|so|quickly,changed|lineup|so|quickly|the|really|the|committee,medium,wonder_why,I wonder why the committee changed the lineup so quickly.
